Time[ms],Latitude,Longitude,Speed[m/s],Distance,Altitude[m],Accuracy[m],Flag,Acceleration[m/s^2],AccWork[J],AeroWork[J],GradeWork[J],RollWork[J],StandStillWork[J],TotalWork[J],StandStillTime[s],Fuel[l],CO2[kg],AccECE[%],AeroECE[%],STSECE[%],WorkECE[%],emission_group,trip,time
1761852827745,50.05707232695343,8.607024102609778,19.0,,101.0,14.0,0,,,,,,,,,,,,,,,high,2025_10_30_Passat Variant TSI_19_33_19_46_2d2961c1-2e11-40b2-86f4-a55b1ca872bf.csv,2025-10-30 19:33:47.745
1761852828745,50.05703497624887,8.607206476629807,16.01,16.01,103.8,14.0,0,-2.9899999999999984,-72962.0,1889.0,38290.39199999996,3284.0,0.0,0.0,0.0,0.0,0.0,0.0,57.22650043250572,0.0,0.0,high,2025_10_30_Passat Variant TSI_19_33_19_46_2d2961c1-2e11-40b2-86f4-a55b1ca872bf.csv,2025-10-30 19:33:48.745
1761852829745,50.056986946703326,8.60736298010592,12.66,12.66,105.4,14.0,0,-3.3500000000000014,-66944.0,934.0,21880.22400000012,2596.0,0.0,0.0,0.0,0.0,0.0,0.0,57.73532164729304,0.0,0.0,high,2025_10_30_Passat Variant TSI_19_33_19_46_2d2961c1-2e11-40b2-86f4-a55b1ca872bf.csv,2025-10-30 19:33:49.745
1761852830745,50.05692195026006,8.607489646144941,12.38,12.38,105.5,14.0,0,-0.2799999999999993,-4887.0,873.0,1367.5139999999224,2539.0,0.0,0.0,0.0,0.0,0.0,0.0,57.411374143117335,0.0,0.0,high,2025_10_30_Passat Variant TSI_19_33_19_46_2d2961c1-2e11-40b2-86f4-a55b1ca872bf.csv,2025-10-30 19:33:50.745
1761852831745,50.05682463833877,8.607571405625292,10.93,10.93,105.1,14.0,0,-1.450000000000001,-23559.0,601.0,-5470.056000000078,2242.0,0.0,0.0,0.0,0.0,0.0,0.0,58.07012010753129,0.0,0.0,high,2025_10_30_Passat Variant TSI_19_33_19_46_2d2961c1-2e11-40b2-86f4-a55b1ca872bf.csv,2025-10-30 19:33:51.745
1761852832745,50.05671928784019,8.607600505344449,12.25,12.25,106.5,8.4,0,1.3200000000000005,21326.0,846.0,19145.19600000008,2512.0,0.0,43829.19600000008,0.0,0.0055975984674329,0.0135461882911877,125.00754009709571,57.5139158941549,0.0,38.75558144689792,high,2025_10_30_Passat Variant TSI_19_33_19_46_2d2961c1-2e11-40b2-86f4-a55b1ca872bf.csv,2025-10-30 19:33:52.745
1761852833745,50.05660193346981,8.607586470997154,12.25,12.25,106.8,8.4,0,0.0,0.0,846.0,4102.541999999961,2512.0,0.0,7460.541999999961,0.0,0.0009528150702426,0.0023058124699872,104.50475923632712,57.104433955998026,0.0,40.85982963478805,high,2025_10_30_Passat Variant TSI_19_33_19_46_2d2961c1-2e11-40b2-86f4-a55b1ca872bf.csv,2025-10-30 19:33:53.745
1761852834745,50.05648017629132,8.607516026226877,13.4,13.4,107.2,8.1,0,1.1500000000000004,20559.0,1108.0,5470.056000000078,2748.0,0.0,29885.05600000008,0.0,0.0038167376756066,0.009236505174968,175.4051317922833,56.76348634181301,0.0,70.66888824050267,high,2025_10_30_Passat Variant TSI_19_33_19_46_2d2961c1-2e11-40b2-86f4-a55b1ca872bf.csv,2025-10-30 19:33:54.745
1761852835745,50.05636303494451,8.607397503819776,15.68,15.68,107.5,8.0,0,2.28,46212.0,1775.0,4102.541999999961,3216.0,0.0,55305.54199999996,0.0,0.0070632876117496,0.0170931560204342,300.0,57.33962900738128,0.0,127.80433427868417,high,2025_10_30_Passat Variant TSI_19_33_19_46_2d2961c1-2e11-40b2-86f4-a55b1ca872bf.csv,2025-10-30 19:33:55.745
1761852836745,50.05623804627556,8.607121667468824,16.31,16.31,109.0,5.8,0,0.629999999999999,14047.0,1998.0,20512.71,3345.0,0.0,39902.71,0.0,0.0050961315453384,0.012332638339719,300.0,57.96811212374333,0.0,139.3114131621359,high,2025_10_30_Passat Variant TSI_19_33_19_46_2d2961c1-2e11-40b2-86f4-a55b1ca872bf.csv,2025-10-30 19:33:56.745
